skill_count,has_projects,has_internship,has_education,has_certifications,action_verb_count,quantified,experience_years,word_count_norm,shortlisted,job_role,salary_band,company_type
11,1,1,1,1,3,0,2.8,0.101,1,Frontend Developer,12-20 LPA,Product-Based Company
18,1,1,1,0,6,0,2.7,0.438,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
4,1,0,1,0,6,1,2.2,0.296,1,Cybersecurity Engineer,8-12 LPA,Service-Based Company
13,1,1,1,0,8,1,1.2,0.315,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
11,1,1,1,1,12,1,2.6,0.39,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
17,1,1,1,1,3,1,0.9,0.303,1,Backend Developer,8-12 LPA,Product-Based Company
3,1,1,1,1,6,1,1.0,0.771,1,Data Analyst,8-12 LPA,Mid-Size Tech / Startup
4,1,0,1,1,7,0,1.0,0.224,1,Frontend Developer,5-8 LPA,Service-Based Company
15,1,1,1,1,8,1,0.6,0.586,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
15,1,0,1,1,8,1,1.0,0.55,1,Machine Learning Engineer,8-12 LPA,Service-Based Company
9,1,1,1,0,6,1,2.8,0.165,1,Backend Developer,12-20 LPA,Product-Based Company
14,1,1,1,1,6,1,2.3,0.812,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
13,1,1,1,0,6,1,2.9,0.717,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
8,1,0,1,0,10,1,1.6,0.269,1,Frontend Developer,8-12 LPA,Service-Based Company
18,0,1,1,0,10,1,3.5,0.286,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
2,1,0,1,0,6,0,3.8,0.531,1,Data Analyst,5-8 LPA,Service-Based Company
18,0,1,1,0,10,0,0.1,0.353,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
7,1,1,1,1,1,1,0.9,0.816,1,DevOps / Cloud Engineer,8-12 LPA,Mid-Size Tech / Startup
4,1,0,1,1,4,1,3.6,0.484,1,Backend Developer,8-12 LPA,Service-Based Company
7,0,1,1,0,12,0,2.7,0.223,1,Machine Learning Engineer,8-12 LPA,Mid-Size Tech / Startup
12,1,1,1,1,0,1,3.3,0.208,1,Backend Developer,12-20 LPA,Product-Based Company
12,1,1,1,0,11,1,2.6,0.73,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
16,1,1,1,0,3,1,0.3,0.561,1,Full Stack Developer,8-12 LPA,Product-Based Company
15,1,1,1,1,5,0,0.8,0.364,1,Frontend Developer,8-12 LPA,Product-Based Company
9,1,1,1,0,6,1,3.0,0.807,1,Backend Developer,12-20 LPA,Product-Based Company
16,1,0,1,0,3,0,2.3,0.584,1,Frontend Developer,8-12 LPA,Service-Based Company
18,1,1,1,0,1,1,1.3,0.86,1,Frontend Developer,8-12 LPA,Product-Based Company
6,0,1,1,1,12,1,1.1,0.202,1,DevOps / Cloud Engineer,8-12 LPA,Mid-Size Tech / Startup
12,0,0,1,0,0,1,2.8,0.229,1,Frontend Developer,5-8 LPA,Service-Based Company
16,0,0,1,1,5,0,0.2,0.589,1,Backend Developer,5-8 LPA,Service-Based Company
3,1,1,1,1,4,0,1.0,0.671,1,Backend Developer,8-12 LPA,Mid-Size Tech / Startup
8,1,1,1,0,9,1,1.2,0.735,1,Full Stack Developer,8-12 LPA,Mid-Size Tech / Startup
7,1,0,1,0,8,0,0.0,0.561,0,Backend Developer,5-8 LPA,Mid-Size Tech / Startup
2,1,1,1,1,10,0,1.1,0.74,1,Data Analyst,8-12 LPA,Mid-Size Tech / Startup
14,0,0,1,0,2,0,0.7,0.414,1,Frontend Developer,5-8 LPA,Service-Based Company
10,1,1,1,0,4,1,2.0,0.182,1,Frontend Developer,12-20 LPA,Product-Based Company
11,1,0,1,1,9,1,0.1,0.883,1,Machine Learning Engineer,8-12 LPA,Service-Based Company
9,1,1,1,1,7,1,0.7,0.699,1,Full Stack Developer,8-12 LPA,Product-Based Company
16,1,0,1,1,5,1,2.0,0.778,1,Backend Developer,12-20 LPA,Service-Based Company
18,0,0,1,0,12,1,2.1,0.101,1,Machine Learning Engineer,12-20 LPA,Service-Based Company
14,0,1,1,1,7,1,0.8,0.662,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
5,1,1,1,0,10,1,1.0,0.262,1,Cybersecurity Engineer,8-12 LPA,Mid-Size Tech / Startup
3,1,1,1,1,10,1,2.0,0.833,1,Backend Developer,12-20 LPA,Mid-Size Tech / Startup
17,1,1,1,1,7,1,1.5,0.713,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
3,1,1,1,1,8,0,0.0,0.843,1,Backend Developer,8-12 LPA,Mid-Size Tech / Startup
16,1,1,1,0,12,1,1.8,0.429,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
8,1,0,1,0,11,1,3.7,0.49,1,Backend Developer,12-20 LPA,Service-Based Company
5,1,0,1,1,1,1,1.8,0.638,1,Data Analyst,8-12 LPA,Service-Based Company
14,1,1,1,1,4,0,2.8,0.765,1,Full Stack Developer,12-20 LPA,Product-Based Company
11,1,1,1,0,11,1,2.0,0.654,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
10,1,1,1,0,10,1,0.4,0.27,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
10,1,0,1,0,5,1,1.0,0.521,1,Full Stack Developer,8-12 LPA,Service-Based Company
6,0,1,1,0,9,0,1.8,0.36,1,Embedded Systems Engineer,8-12 LPA,Mid-Size Tech / Startup
9,1,1,1,0,8,0,1.8,0.453,1,Backend Developer,8-12 LPA,Product-Based Company
9,1,0,1,1,1,0,2.3,0.688,1,Backend Developer,8-12 LPA,Service-Based Company
10,0,1,1,0,10,1,3.9,0.72,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
10,1,0,1,0,3,1,2.7,0.838,1,Frontend Developer,8-12 LPA,Service-Based Company
5,1,1,1,0,7,0,1.5,0.234,1,Cybersecurity Engineer,8-12 LPA,Mid-Size Tech / Startup
6,1,1,1,0,8,1,3.3,0.363,1,Embedded Systems Engineer,12-20 LPA,Mid-Size Tech / Startup
10,1,0,1,1,2,1,0.9,0.792,1,Frontend Developer,8-12 LPA,Service-Based Company
12,0,1,1,0,5,1,2.7,0.698,1,Backend Developer,12-20 LPA,Product-Based Company
12,0,0,0,1,8,0,2.4,0.763,0,Machine Learning Engineer,5-8 LPA,Mid-Size Tech / Startup
14,0,0,0,1,1,0,3.5,0.238,0,Backend Developer,5-8 LPA,Government / PSU
12,1,1,1,0,11,1,3.5,0.77,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
14,1,0,1,0,7,1,3.4,0.201,1,Machine Learning Engineer,12-20 LPA,Service-Based Company
12,1,1,1,0,3,1,3.8,0.565,1,Frontend Developer,12-20 LPA,Product-Based Company
1,0,0,1,1,3,0,3.1,0.312,0,Data Analyst,3-5 LPA,Product-Based Company
11,1,1,1,0,2,1,2.2,0.278,1,Full Stack Developer,12-20 LPA,Product-Based Company
1,1,1,1,0,4,0,3.0,0.638,1,Data Analyst,8-12 LPA,Mid-Size Tech / Startup
3,1,1,1,0,8,0,2.5,0.844,1,Backend Developer,8-12 LPA,Mid-Size Tech / Startup
15,1,0,1,1,6,1,2.0,0.554,1,Machine Learning Engineer,12-20 LPA,Service-Based Company
3,1,0,1,0,9,1,2.2,0.432,1,Backend Developer,8-12 LPA,Service-Based Company
15,1,1,1,0,10,1,3.1,0.838,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
7,1,1,1,1,6,1,0.4,0.537,1,DevOps / Cloud Engineer,8-12 LPA,Mid-Size Tech / Startup
5,1,1,1,0,6,0,3.0,0.233,1,Machine Learning Engineer,8-12 LPA,Mid-Size Tech / Startup
18,1,1,1,1,12,1,3.7,0.152,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
12,0,1,1,1,1,0,2.2,0.217,1,Backend Developer,8-12 LPA,Product-Based Company
8,1,1,1,1,9,1,2.2,0.723,1,Backend Developer,12-20 LPA,Mid-Size Tech / Startup
1,0,1,1,0,0,0,0.6,0.773,0,Backend Developer,3-5 LPA,Service-Based Company
5,1,1,1,1,6,1,1.4,0.478,1,Data Analyst,8-12 LPA,Mid-Size Tech / Startup
2,0,1,0,0,7,1,1.9,0.552,0,Backend Developer,5-8 LPA,Mid-Size Tech / Startup
7,1,0,1,0,10,1,2.1,0.415,1,Data Analyst,8-12 LPA,Service-Based Company
1,1,1,1,1,4,0,0.0,0.864,1,Backend Developer,5-8 LPA,Mid-Size Tech / Startup
6,0,1,1,1,10,1,0.3,0.859,1,DevOps / Cloud Engineer,8-12 LPA,Mid-Size Tech / Startup
3,1,1,1,1,6,0,1.6,0.432,1,Data Analyst,8-12 LPA,Mid-Size Tech / Startup
15,1,1,1,1,3,1,1.6,0.18,1,Backend Developer,8-12 LPA,Product-Based Company
8,1,0,1,0,8,0,3.1,0.459,1,Frontend Developer,8-12 LPA,Service-Based Company
5,1,0,1,1,12,1,0.3,0.891,1,Backend Developer,8-12 LPA,Service-Based Company
11,1,1,1,0,7,1,3.2,0.705,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
2,1,0,1,0,5,1,0.3,0.192,1,Embedded Systems Engineer,5-8 LPA,Service-Based Company
18,1,1,0,1,9,1,1.3,0.587,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
17,0,0,1,1,5,1,0.3,0.761,1,Backend Developer,8-12 LPA,Service-Based Company
15,1,1,1,1,6,1,1.4,0.712,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
2,1,1,1,0,10,0,1.0,0.772,1,Data Analyst,8-12 LPA,Mid-Size Tech / Startup
11,0,1,1,0,10,1,1.6,0.709,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
3,1,1,1,1,10,1,3.8,0.801,1,Backend Developer,12-20 LPA,Mid-Size Tech / Startup
17,1,1,1,0,12,1,0.9,0.24,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
5,0,1,1,1,11,1,0.2,0.444,1,Backend Developer,8-12 LPA,Mid-Size Tech / Startup
5,0,1,1,1,2,1,0.2,0.473,1,Data Analyst,5-8 LPA,Mid-Size Tech / Startup
15,1,1,1,0,3,0,3.2,0.58,1,Frontend Developer,12-20 LPA,Product-Based Company
15,1,0,1,1,2,1,3.2,0.241,1,Backend Developer,12-20 LPA,Service-Based Company
2,1,1,1,0,8,1,1.1,0.881,1,Data Analyst,8-12 LPA,Mid-Size Tech / Startup
14,0,1,1,1,0,1,1.6,0.482,1,Full Stack Developer,8-12 LPA,Product-Based Company
13,1,1,0,1,11,1,3.2,0.24,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
16,1,0,1,0,0,1,0.1,0.32,1,Full Stack Developer,8-12 LPA,Service-Based Company
18,1,1,1,1,3,0,0.2,0.529,1,Full Stack Developer,8-12 LPA,Product-Based Company
4,1,1,1,1,9,0,0.6,0.539,1,Data Analyst,8-12 LPA,Mid-Size Tech / Startup
12,1,1,1,0,5,0,2.1,0.619,1,Full Stack Developer,12-20 LPA,Product-Based Company
13,1,0,1,0,11,0,3.2,0.453,1,Machine Learning Engineer,12-20 LPA,Service-Based Company
8,1,1,1,1,5,0,1.4,0.446,1,Frontend Developer,8-12 LPA,Mid-Size Tech / Startup
15,1,1,1,0,11,1,1.8,0.4,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
7,0,0,0,1,8,0,3.3,0.584,0,DevOps / Cloud Engineer,5-8 LPA,Product-Based Company
10,1,1,1,0,1,1,1.7,0.509,1,Frontend Developer,8-12 LPA,Product-Based Company
15,1,1,1,1,7,0,3.2,0.373,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
3,1,1,1,0,1,0,2.6,0.413,1,Backend Developer,8-12 LPA,Mid-Size Tech / Startup
14,0,1,1,1,5,1,1.7,0.754,1,Full Stack Developer,8-12 LPA,Product-Based Company
13,1,1,1,1,2,1,2.7,0.548,1,Full Stack Developer,12-20 LPA,Product-Based Company
5,0,1,1,0,9,0,0.6,0.56,0,Data Analyst,5-8 LPA,Product-Based Company
17,1,0,1,1,0,1,2.0,0.496,1,Frontend Developer,12-20 LPA,Service-Based Company
4,1,0,1,1,4,1,4.0,0.304,1,Embedded Systems Engineer,8-12 LPA,Service-Based Company
6,1,1,1,1,5,1,2.8,0.663,1,DevOps / Cloud Engineer,12-20 LPA,Mid-Size Tech / Startup
18,1,0,1,1,11,1,3.2,0.62,1,Machine Learning Engineer,12-20 LPA,Service-Based Company
5,1,1,1,1,7,1,2.2,0.726,1,Data Analyst,12-20 LPA,Mid-Size Tech / Startup
3,1,1,1,1,12,1,2.3,0.228,1,Embedded Systems Engineer,12-20 LPA,Mid-Size Tech / Startup
15,1,0,1,1,10,1,3.1,0.232,1,Machine Learning Engineer,12-20 LPA,Service-Based Company
14,1,1,1,1,4,0,1.3,0.826,1,Frontend Developer,8-12 LPA,Product-Based Company
10,1,0,1,1,2,1,2.5,0.195,1,Frontend Developer,8-12 LPA,Service-Based Company
6,1,1,1,1,9,0,3.7,0.142,1,DevOps / Cloud Engineer,12-20 LPA,Mid-Size Tech / Startup
2,1,1,1,0,9,1,2.6,0.609,1,Backend Developer,12-20 LPA,Mid-Size Tech / Startup
10,1,1,1,0,1,1,0.6,0.525,1,Frontend Developer,8-12 LPA,Product-Based Company
5,1,1,1,1,6,0,1.5,0.675,1,Data Analyst,8-12 LPA,Mid-Size Tech / Startup
11,1,0,1,0,0,0,1.5,0.73,1,Full Stack Developer,5-8 LPA,Service-Based Company
11,1,1,1,0,8,1,3.5,0.609,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
1,0,1,1,0,9,0,0.2,0.606,1,Backend Developer,5-8 LPA,Mid-Size Tech / Startup
10,1,1,1,1,11,0,1.6,0.146,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
13,0,1,1,0,6,1,3.1,0.386,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
4,0,0,1,1,8,1,3.0,0.303,1,Cybersecurity Engineer,8-12 LPA,Service-Based Company
17,0,0,1,1,8,1,2.4,0.627,1,Machine Learning Engineer,12-20 LPA,Service-Based Company
11,0,1,1,0,5,1,2.0,0.601,1,Frontend Developer,8-12 LPA,Product-Based Company
10,1,0,1,0,6,1,3.2,0.842,1,Machine Learning Engineer,12-20 LPA,Service-Based Company
16,1,1,1,1,3,1,2.3,0.274,1,Frontend Developer,12-20 LPA,Product-Based Company
13,0,1,0,1,1,0,1.8,0.528,1,Backend Developer,8-12 LPA,Product-Based Company
17,1,1,1,1,0,1,2.1,0.674,1,Backend Developer,12-20 LPA,Product-Based Company
16,1,0,1,1,5,1,2.7,0.838,1,Backend Developer,12-20 LPA,Service-Based Company
16,0,0,1,0,4,1,2.8,0.806,1,Frontend Developer,8-12 LPA,Service-Based Company
16,1,0,1,1,4,0,2.3,0.656,1,Backend Developer,12-20 LPA,Service-Based Company
5,1,0,1,0,7,1,3.0,0.319,1,Data Analyst,8-12 LPA,Service-Based Company
18,1,1,1,0,11,1,1.0,0.785,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
8,0,1,1,0,12,0,3.9,0.261,1,Backend Developer,8-12 LPA,Mid-Size Tech / Startup
16,1,0,1,0,10,0,3.1,0.767,1,Machine Learning Engineer,12-20 LPA,Service-Based Company
2,1,0,1,0,0,1,1.6,0.607,1,Data Analyst,5-8 LPA,Service-Based Company
10,1,0,1,0,5,0,4.0,0.656,1,Full Stack Developer,8-12 LPA,Service-Based Company
17,1,0,1,0,7,1,2.9,0.114,1,Machine Learning Engineer,12-20 LPA,Service-Based Company
11,1,1,1,0,10,1,3.3,0.627,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
4,0,0,1,0,4,0,1.8,0.373,0,Frontend Developer,3-5 LPA,Mid-Size Tech / Startup
1,1,1,1,1,7,0,1.6,0.614,1,Backend Developer,8-12 LPA,Mid-Size Tech / Startup
4,1,1,1,0,2,1,1.8,0.72,1,Backend Developer,8-12 LPA,Mid-Size Tech / Startup
14,1,1,1,1,3,1,2.7,0.71,1,Backend Developer,12-20 LPA,Product-Based Company
17,1,0,1,0,8,1,0.8,0.649,1,Machine Learning Engineer,8-12 LPA,Service-Based Company
5,0,1,1,1,11,1,0.4,0.622,1,Data Analyst,8-12 LPA,Mid-Size Tech / Startup
17,1,1,1,1,4,1,1.6,0.103,1,Frontend Developer,8-12 LPA,Product-Based Company
7,1,0,1,0,0,1,0.3,0.583,0,Data Analyst,5-8 LPA,Government / PSU
12,1,1,1,1,6,0,3.9,0.652,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
5,1,0,1,1,8,0,3.9,0.103,1,Embedded Systems Engineer,8-12 LPA,Service-Based Company
18,1,1,1,1,2,0,3.7,0.842,1,Full Stack Developer,12-20 LPA,Product-Based Company
2,1,1,1,1,0,0,0.3,0.708,0,Data Analyst,5-8 LPA,Product-Based Company
2,1,0,1,1,0,0,4.0,0.339,1,Frontend Developer,5-8 LPA,Service-Based Company
11,1,1,1,1,6,0,0.2,0.705,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
14,1,0,1,1,6,1,1.3,0.526,1,Machine Learning Engineer,8-12 LPA,Service-Based Company
14,0,1,1,1,3,0,2.8,0.574,1,Backend Developer,12-20 LPA,Product-Based Company
18,1,1,1,0,1,1,3.4,0.194,1,Frontend Developer,12-20 LPA,Product-Based Company
7,0,1,1,0,1,0,3.0,0.841,1,Data Analyst,5-8 LPA,Mid-Size Tech / Startup
11,1,1,1,0,11,0,4.0,0.59,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
8,1,1,1,0,5,1,1.5,0.646,1,Backend Developer,8-12 LPA,Mid-Size Tech / Startup
17,1,1,1,1,12,1,3.7,0.479,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
11,1,1,1,0,4,1,2.3,0.837,1,Backend Developer,12-20 LPA,Product-Based Company
8,1,1,1,1,10,0,3.1,0.6,1,Frontend Developer,12-20 LPA,Mid-Size Tech / Startup
16,1,1,1,0,8,1,3.7,0.655,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
17,0,1,1,1,12,0,0.5,0.745,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
8,0,0,1,1,0,1,2.7,0.731,0,Full Stack Developer,5-8 LPA,Service-Based Company
18,1,0,1,0,4,0,3.3,0.79,1,Backend Developer,12-20 LPA,Service-Based Company
6,0,0,1,0,8,0,1.4,0.506,0,Backend Developer,5-8 LPA,Product-Based Company
8,1,1,1,1,10,1,0.4,0.488,1,Backend Developer,8-12 LPA,Mid-Size Tech / Startup
18,1,1,1,0,6,1,1.3,0.197,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
8,1,1,1,1,0,1,2.7,0.387,1,Frontend Developer,12-20 LPA,Mid-Size Tech / Startup
2,0,1,0,0,2,1,2.9,0.507,0,Data Analyst,5-8 LPA,Government / PSU
18,1,1,1,1,11,0,3.0,0.454,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
2,0,0,1,1,9,1,1.6,0.892,1,Backend Developer,5-8 LPA,Service-Based Company
16,1,1,1,0,9,1,0.3,0.733,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
10,1,1,1,0,11,1,0.6,0.498,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
1,1,1,1,0,1,0,1.8,0.668,1,Backend Developer,5-8 LPA,Mid-Size Tech / Startup
4,0,1,1,1,5,1,0.0,0.523,1,Data Analyst,5-8 LPA,Mid-Size Tech / Startup
17,0,1,1,0,7,0,0.7,0.382,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
14,1,1,1,1,11,1,2.4,0.3,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
1,1,0,1,1,5,1,1.7,0.766,1,Data Analyst,8-12 LPA,Service-Based Company
10,1,1,1,0,6,1,1.2,0.811,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
8,1,0,1,0,9,0,4.0,0.284,1,Frontend Developer,8-12 LPA,Service-Based Company
18,0,1,1,0,12,0,2.8,0.518,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
10,1,1,1,1,1,1,2.4,0.696,1,Backend Developer,12-20 LPA,Product-Based Company
18,1,1,1,1,12,1,2.8,0.649,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
4,1,1,1,1,0,1,2.6,0.762,1,Backend Developer,12-20 LPA,Mid-Size Tech / Startup
11,1,1,0,0,8,1,2.2,0.804,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
13,1,1,1,0,0,1,1.2,0.187,1,Full Stack Developer,8-12 LPA,Product-Based Company
5,1,0,1,1,5,1,1.8,0.813,1,Data Analyst,8-12 LPA,Service-Based Company
4,0,0,1,1,11,0,0.7,0.263,0,Frontend Developer,5-8 LPA,Government / PSU
15,1,1,1,1,6,0,2.9,0.302,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
1,1,0,1,1,1,1,3.2,0.649,1,Data Analyst,8-12 LPA,Service-Based Company
12,1,1,1,1,8,1,1.3,0.497,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
12,1,1,1,1,12,0,2.5,0.186,1,Machine Learning Engineer,12-20 LPA,Product-Based Company
5,1,0,1,0,2,1,1.7,0.241,1,Embedded Systems Engineer,5-8 LPA,Service-Based Company
18,1,1,1,1,7,0,0.7,0.561,1,Machine Learning Engineer,8-12 LPA,Product-Based Company
2,1,1,1,0,6,1,2.0,0.606,1,Backend Developer,8-12 LPA,Mid-Size Tech / Startup
16,0,1,1,0,0,0,2.2,0.272,1,Backend Developer,8-12 LPA,Product-Based Company
16,1,0,1,1,5,1,3.0,0.878,1,Backend Developer,12-20 LPA,Service-Based Company
4,1,1,1,1,0,1,1.4,0.189,1,Embedded Systems Engineer,8-12 LPA,Mid-Size Tech / Startup
4,1,0,1,1,5,1,2.4,0.538,1,Data Analyst,8-12 LPA,Service-Based Company
7,1,1,1,1,2,0,2.8,0.396,1,DevOps / Cloud Engineer,12-20 LPA,Mid-Size Tech / Startup
9,1,1,1,1,2,1,3.1,0.16,1,Full Stack Developer,12-20 LPA,Product-Based Company
5,1,1,1,1,10,0,0.6,0.747,1,Backend Developer,8-12 LPA,Mid-Size Tech / Startup
14,1,0,1,1,6,1,1.1,0.477,1,Machine Learning Engineer,8-12 LPA,Service-Based Company
1,1,1,1,1,10,1,1.4,0.164,1,Cybersecurity Engineer,8-12 LPA,Mid-Size Tech / Startup
7,1,1,1,0,4,0,2.3,0.679,1,Data Analyst,8-12 LPA,Mid-Size Tech / Startup
2,0,1,1,0,2,1,0.0,0.538,1,Data Analyst,5-8 LPA,Mid-Size Tech / Startup
5,1,0,1,1,1,1,1.0,0.48,1,Data Analyst,8-12 LPA,Service-Based Company
13,1,1,1,0,1,1,0.0,0.588,1,Full Stack Developer,8-12 LPA,Product-Based Company
5,1,1,1,0,5,1,4.0,0.532,1,Data Analyst,12-20 LPA,Mid-Size Tech / Startup
13,0,1,1,0,4,0,3.1,0.871,1,Full Stack Developer,8-12 LPA,Product-Based Company
5,0,1,1,0,5,1,2.5,0.255,1,Embedded Systems Engineer,8-12 LPA,Mid-Size Tech / Startup
7,0,0,1,1,6,0,1.7,0.243,1,DevOps / Cloud Engineer,5-8 LPA,Service-Based Company
8,1,0,1,1,9,0,3.8,0.127,1,Backend Developer,12-20 LPA,Service-Based Company
7,1,1,1,0,0,1,3.2,0.345,1,Embedded Systems Engineer,12-20 LPA,Mid-Size Tech / Startup
13,0,1,1,1,0,1,3.7,0.235,1,Backend Developer,12-20 LPA,Product-Based Company
12,1,0,1,1,1,0,0.3,0.368,0,Full Stack Developer,8-12 LPA,Service-Based Company
2,1,1,1,1,12,1,2.8,0.184,1,DevOps / Cloud Engineer,12-20 LPA,Mid-Size Tech / Startup
9,0,0,1,1,2,1,1.6,0.749,1,Frontend Developer,5-8 LPA,Service-Based Company
